Cause_of_death,Age,Subjects_gender,Region,Subjects_race,Cluster
Gunshot,23.0,Male,Southwest,European-American/White,0
Others,43.0,Male,West,African-American/Black,0
Gunshot,33.0,Male,Southwest,Hispanic/Latino,0
Gunshot,47.0,Male,West,European-American/White,0
Vehicle,51.0,Female,Midwest,Hispanic/Latino,2
Gunshot,45.0,Male,Northeast,African-American/Black,1
Gunshot,35.0,Male,Midwest,African-American/Black,1
Gunshot,39.0,Male,Southeast,European-American/White,0
Gunshot,22.0,Male,West,European-American/White,0
Gunshot,29.0,Male,West,Hispanic/Latino,0
Gunshot,58.0,Male,Midwest,European-American/White,0
Gunshot,39.0,Male,Southeast,European-American/White,0
Gunshot,17.0,Male,Midwest,Hispanic/Latino,0
Vehicle,46.0,Male,West,European-American/White,0
Vehicle,55.0,Male,West,European-American/White,0
Gunshot,33.0,Male,West,European-American/White,0
Gunshot,33.0,Male,West,European-American/White,0
Gunshot,54.0,Male,West,African-American/Black,0
Gunshot,28.0,Male,Midwest,European-American/White,0
Gunshot,52.0,Male,West,Hispanic/Latino,0
Gunshot,27.0,Male,West,European-American/White,0
Gunshot,27.0,Male,Midwest,European-American/White,0
Gunshot,41.0,Male,Southeast,European-American/White,0
Gunshot,40.0,Female,Southeast,African-American/Black,1
Gunshot,38.0,Male,Northeast,European-American/White,0
Gunshot,22.0,Male,Midwest,African-American/Black,1
Gunshot,26.0,Male,West,African-American/Black,0
Vehicle,18.0,Male,Midwest,European-American/White,2
Vehicle,33.0,Male,Southeast,Hispanic/Latino,2
Vehicle,24.0,Female,Southeast,African-American/Black,1
Vehicle,52.0,Male,Midwest,African-American/Black,2
Others,33.0,Male,West,European-American/White,0
Gunshot,22.0,Male,West,European-American/White,0
Gunshot,28.0,Male,Northeast,African-American/Black,1
Vehicle,22.0,Male,Northeast,African-American/Black,1
Gunshot,44.0,Male,Southeast,European-American/White,0
Gunshot,22.0,Male,Southwest,Hispanic/Latino,1
Vehicle,40.0,Male,Southeast,African-American/Black,1
Vehicle,34.0,Male,Southeast,European-American/White,2
Vehicle,35.0,Male,Midwest,European-American/White,2
Gunshot,37.0,Male,West,Hispanic/Latino,0
Gunshot,36.0,Male,Northeast,European-American/White,0
Gunshot,41.0,Male,West,European-American/White,0
Others,37.0,Male,Northeast,African-American/Black,1
Gunshot,22.0,Male,Southwest,Native American/Alaskan,1
Vehicle,58.0,Female,Midwest,European-American/White,2
Gunshot,34.0,Male,Midwest,European-American/White,0
Vehicle,23.0,Female,Southeast,African-American/Black,1
Gunshot,51.0,Male,West,European-American/White,0
Vehicle,20.0,Male,Midwest,African-American/Black,2
Vehicle,22.0,Male,Midwest,African-American/Black,1
Others,39.0,Male,Midwest,European-American/White,2
Vehicle,56.0,Male,Northeast,African-American/Black,1
Others,33.0,Male,Midwest,European-American/White,2
Vehicle,57.0,Female,Southeast,African-American/Black,1
Gunshot,69.0,Male,Southeast,African-American/Black,1
Vehicle,17.0,Male,Midwest,Hispanic/Latino,2
Vehicle,25.0,Male,Midwest,Hispanic/Latino,2
Vehicle,23.0,Male,West,European-American/White,0
Gunshot,33.0,Male,Southeast,European-American/White,0
Gunshot,33.0,Male,Southwest,Hispanic/Latino,0
Gunshot,41.0,Male,Southeast,African-American/Black,1
Gunshot,47.0,Male,Northeast,European-American/White,0
Gunshot,22.0,Male,Southwest,African-American/Black,1
Gunshot,29.0,Male,Southeast,European-American/White,0
Gunshot,36.0,Male,West,Asian/Pacific Islander,0
Gunshot,23.0,Male,West,African-American/Black,0
Gunshot,24.0,Male,Southeast,European-American/White,0
Gunshot,29.0,Male,West,European-American/White,0
Others,25.0,Male,Midwest,African-American/Black,1
Vehicle,27.0,Male,Northeast,Hispanic/Latino,2
Vehicle,30.0,Male,Northeast,African-American/Black,1
Others,23.0,Male,West,European-American/White,0
Others,33.0,Male,West,European-American/White,0
Others,35.0,Male,Midwest,European-American/White,2
